Username	Category	#Followers	#Followees	#Posts
bymorgantyler	beauty	1601	237	330
alanaahewitt	beauty	9346	1245	274
captaingabex	beauty	89350	373	486
deneandale	beauty	30554	1262	1161
carollago	beauty	31815	906	788
cherylpandemonium	beauty	111202	461	1686
chloezadori	beauty	10266	1445	1190
beautyxgabrielle	beauty	11737	1443	343
chinabell	beauty	21000	3140	1684
ewalkk	beauty	14397	754	437
_chloemorton	beauty	101224	1867	1684
a1delatorre	beauty	91041	272	585
beautybykiim	beauty	6048	646	626
cpresso	beauty	203385	659	1578
barbara_makeup_2690	beauty	25892	3562	685
angydrops	beauty	2442	2073	426
fcaligaris	beauty	1080	765	351
alyscasella	beauty	14562	1484	535
beautybyrosita	beauty	117821	2033	1534
amandapastoree	beauty	138082	2128	1197
aminaali_mua	beauty	2073	1761	465
fashionicide	beauty	10828	720	1465
ellinoramanda	beauty	16932	665	814
beautifulyouliverpool	beauty	1529	1372	477
beautybymarlika	beauty	2419	2208	473
_aubreanascurlss	beauty	36767	1179	766
flatbushzombae	beauty	1417	1563	418
cybelesays	beauty	28596	1832	636
ffigs	beauty	98325	1037	811
essentiallysammie	beauty	5486	594	435
flukeofmakeup	beauty	97557	496	307
ainamarieh	beauty	5827	1326	437
erinscottbeauty	beauty	48273	321	1066
catchingkerosene	beauty	109330	217	780
curlyniquenique	beauty	4392	283	332
_artacha	beauty	13939	857	918
camidelrey143	beauty	3743	2420	648
4everestherr	beauty	29534	879	299
firstladyshanta	beauty	3678	6500	1434
_trishamarieditton_	beauty	6389	1302	619
fmk.k	beauty	62947	1267	607
fashionablydesired	beauty	5551	1087	1558
diesel_minnie	beauty	66463	179	392
cassie_ohsoclassic	beauty	2355	818	358
carobouvette	beauty	4337	1287	352
armaniamor	beauty	12249	662	543
calireviewingmama	beauty	3100	1444	1020
exteriorglam	beauty	1769918	470	539
amanda.benko	beauty	6349	887	338
feliciagross	beauty	38640	671	799
bonimakeup	beauty	4856	780	384
araxjan	beauty	20352	911	920
beautysnoop	beauty	12785	1333	1093
christendominique	beauty	1474432	545	1324
creatingvisionsmua	beauty	1924	287	434
fatimadurni	beauty	35532	304	1888
danagagliotti	beauty	18080	1185	386
cosmocalista	beauty	27074	953	287
baharehrezaei_	beauty	33731	3998	1074
_chellita	beauty	6202	673	345
daniellerenaee	beauty	73159	1528	579
amandawarrenhair	beauty	15082	536	522
entrelabialesypigmentos	beauty	13623	1111	777
beautystylelist	beauty	14302	668	877
crambert	beauty	2007	1697	811
beigeojai	beauty	16482	404	735
epens	beauty	1327	885	341
dianisdelca	beauty	2981	1018	548
caterina_tonzuso	beauty	1987	3710	611
chlo909	beauty	22949	7500	810
_themakeupdoll	beauty	71534	4027	587
fanneydora.com_	beauty	6952	1675	505
amy.lozy	beauty	17940	744	788
emilywolfbeauty	beauty	89347	1333	1381
celines__	beauty	150115	323	540
15minbeauty	beauty	5387	1549	354
curvin_goddess	beauty	5750	5696	1916
faithdrew	beauty	11868	900	428
bayareabeautyblogger	beauty	1553	707	1046
armineisajan	beauty	173834	737	333
breeannbarbie	beauty	20545	314	1460
curlswithcoral	beauty	42419	1166	742
arielvscupcake_	beauty	52217	638	348
alksne	beauty	8363	381	975
_geheimnisvoll	beauty	62436	103	356
beu_seul2	beauty	3027	730	274
facebymeagan	beauty	11630	190	1138
curlbellaa	beauty	41788	763	445
bobismakeup	beauty	74238	155	393
cristylelook	beauty	3138	884	745
angelwhite79	beauty	94000	2140	407
cocoaama	beauty	19124	1289	773
donaspock	beauty	26135	230	328
dobi_makeup	beauty	21094	411	452
esselleblaize	beauty	9411	365	958
fidyabeauty	beauty	2556	1515	3921
facepoetry	beauty	7561	991	892
eduardapantolfi	beauty	108067	2072	2962
curlyfitvegan	beauty	1071	1086	831
amandasperoni	beauty	23703	1473	744
elena_280614	beauty	41870	1430	1058
facebynikki	beauty	25913	1873	1973
anngelina__	beauty	38210	396	322
captivating_cia	beauty	1846	590	1012
alifeofclarity	beauty	28306	1740	1291
blushingnoir	beauty	52388	5274	2689
dds_beautyy	beauty	5477	5242	686
evetteesantoss	beauty	212447	941	471
dayelasoul	beauty	162629	1189	2630
breckhouse	beauty	14993	3198	1184
alpha.makeup	beauty	27545	995	324
_wildfern	beauty	125351	1413	2178
adrianystefanyc	beauty	41747	1842	231
curlyjojo__	beauty	33243	331	364
billyalex_	beauty	15129	1473	484
chloewolchock	beauty	9637	1969	1671
brookebarrows	beauty	18325	557	1476
bablonia	beauty	82894	416	375
eucarinasoares	beauty	58703	704	632
cgwebuofficial	beauty	24369	636	927
bambivstheworld	beauty	8261	1300	608
bbyedith	beauty	212111	80	364
festivalredhead	beauty	6230	410	350
crtnygrdnr	beauty	17688	1623	612
blessingiraldo	beauty	139909	1866	349
denizgoksen	beauty	186063	236	596
black_bunny_	beauty	56400	1138	510
beauty_informer	beauty	9823	729	329
bbpaws	beauty	30970	341	480
beautywithsonia_	beauty	10508	877	2167
donialuvsu	beauty	226598	7474	1151
elenasmakeup	beauty	25742	955	1266
bloglilapink	beauty	32352	3717	2419
discocurls	beauty	10961	1292	402
dirtybombshells	beauty	4348	1289	906
bigapplebeauty	beauty	5114	950	671
blogmakesecia	beauty	21180	3631	1056
digitalzarda	beauty	2364	1308	695
elletrowbridge	beauty	76185	899	318
erika_prihodova_artist	beauty	3071	2584	461
berryuca	beauty	130079	921	1154
facepudding	beauty	32213	379	475
cristinapilo	beauty	284882	2114	3220
ashbeautyx	beauty	77441	791	501
anavictorinotv	beauty	43886	3999	301
asmastudio	beauty	17434	1393	357
birgittesn	beauty	6576	829	347
abbeysoandso	beauty	227471	665	1423
culture_hair_products	beauty	3040	2258	454
ashleylynnn05	beauty	12541	3572	5523
candylion.cos	beauty	104313	618	409
artistrybyaarni	beauty	6288	1140	665
falabibiela	beauty	102209	471	321
_alussier	beauty	6458	857	735
1liz_vader3	beauty	14032	427	539
carahamelie	beauty	23304	510	1988
carlibel	beauty	4931795	1434	1880
arabellachi	beauty	21303	853	1684
daniellerae.xo	beauty	63811	1871	1684
caseyybetts	beauty	16771	7386	284
areti_manou	beauty	43828	7502	455
daisyonmars_	beauty	3300	692	540
carolina.meschini	beauty	5506	1818	1041
adelina_ilardi_	beauty	21239	6871	320
bambi_showpu	beauty	25599	422	476
evaniwithav	beauty	3278	662	963
devine_beauty_by_t	beauty	80242	163	1277
alyshiajoness	beauty	26013	972	601
badxmami	beauty	17397	5935	940
florenceros.e	beauty	127058	1235	990
doralysbritto	beauty	261710	791	1033
brighterdarling	beauty	6895	887	668
dasjiaj	beauty	13452	1012	475
bodmonzaid	beauty	1451621	557	1379
beautyspotnaomii	beauty	12167	7502	1616
blackrose45	beauty	12467	7503	2686
deedeegracie	beauty	8290	319	297
drmarcelferreira	beauty	195993	6167	1069
briannaxbeautyx	beauty	10078	1245	906
beautywithlily	beauty	8147	305	728
alexiscastro_xo	beauty	1801	1998	778
chantel_hall	beauty	10944	1863	330
_taylor_bee_	beauty	36617	6676	1778
dennydaily	beauty	18145	309	571
chandlerlovelle	beauty	93978	1478	299
chiara_tetteroo	beauty	206257	668	280
alexislives	beauty	180715	999	2026
dariacarmen	beauty	3432	2577	441
flowerbomb31_	beauty	11330	244	573
chiaralove5	beauty	12605	6308	407
eleonora_gk	beauty	26067	674	546
caminoconallure	beauty	30236	1448	1564
bkelly8801	beauty	7834	3518	1410
brwn.skn	beauty	5726	433	602
bl00disthenewblack	beauty	11828	2977	390
dfashionysta	beauty	7472	2885	732
ckey_beauty	beauty	25267	814	1464
charrvictory	beauty	19856	528	375
daniellejjackson	beauty	566105	262	2624
blogcoisasdeana	beauty	20938	4627	343
ellagross	beauty	960373	89	835
faewilliams	beauty	72377	1873	1284
_sallyjo_	beauty	95484	266	712
claurilion	beauty	52976	1342	511
_maryglow	beauty	14257	2699	1470
beckiicruel	beauty	35603	1022	423
andreajayyy_	beauty	6467	1189	296
curlssodope	beauty	16463	1011	872
being_melody	beauty	4613	1632	1699
breninnobleman	beauty	1781	1969	766
courtneyxsd	beauty	3345	1412	802
diannadiamonds15	beauty	32054	159	373
danielmartin	beauty	113264	1685	1834
donedo	beauty	59575	3142	4298
_hannahweir_	beauty	363953	222	591
bretmanrock	beauty	10688636	192	1271
breanna_lynnn	beauty	1446	2745	380
catherinexblackxmodel	beauty	2486	235	529
facesbyren	beauty	2688	646	1053
angelicabas	beauty	47773	4705	476
catherineb92	beauty	12433	2862	2347
beautycolor3	beauty	4226	390	992
charlotte_louise_baker	beauty	14459	1165	723
dailyfashiiion	beauty	24154	0	1214
ahh_lexi	beauty	12346	1004	303
amandatupi	beauty	7375	3898	732
carolinecf	beauty	52974	223	294
dianadoll	beauty	1870	1066	273
arang.ytb	beauty	13316	188	431
florennce99	beauty	47395	416	548
dany.michalski.official	beauty	86942	2531	764
aru89	beauty	5173	1683	901
ameerabelle	beauty	24784	383	447
arnaumarin	beauty	589495	1298	1271
by_charlie_	beauty	9593	1151	677
annagray_x	beauty	5106	3698	776
aisha.uk	beauty	1204	666	779
alefabulash	beauty	18200	5792	388
danielludibitch	beauty	24593	2528	309
99johannas	beauty	8472	563	341
fitgeekgoddess	beauty	40236	674	445
_micheleschmidt	beauty	10716	890	1041
bgorgeousguurrl	beauty	11252	951	3081
everything_meli	beauty	4685	745	288
amberscholl	beauty	608331	391	1046
femme_fae	beauty	10431	598	645
chelxielive	beauty	145279	152	348
fabuloushannah	beauty	51522	326	610
daily.malarina	beauty	12071	429	574
_sainte	beauty	156795	467	1703
fefakuniyoshi	beauty	8131	691	686
fitchick_nextdoor	beauty	8548	3442	847
_tessfinley_	beauty	9769	1489	475
brandon.suckz	beauty	2313	298	417
deboracentonze	beauty	70095	7375	751
alldaybunny	beauty	32576	746	459
federika_in_fashionland	beauty	15273	3021	1839
c.cola_	beauty	1147	2237	1229
elliemaeford	beauty	1028	985	279
eitanathalya	beauty	2107	985	478
brumoreira.17	beauty	4269	942	652
crystalspinelli	beauty	6531	2082	1687
briggadonis	beauty	10177	586	509
beamotta	beauty	10863	514	391
crystalv__	beauty	22177	902	803
fannyadelina	beauty	10233	268	480
chiaraparisi_	beauty	17008	4554	354
cheetara_flame	beauty	179750	704	1652
evameganosova	beauty	16740	283	330
charlotteca88	beauty	59456	1458	614
amberplaster	beauty	8600	1299	272
dareinmaree	beauty	11876	102	309
aidapersiaa	beauty	4427	134	310
castleha_	beauty	1299	304	273
alissvlogchannel	beauty	58489	1338	1355
beautysriring	beauty	51740	6647	1343
fi_cavatorta	beauty	193204	1124	590
elliegracemusic	beauty	9495	453	266
bethanyannhamm	beauty	5201	213	424
_sugardenny_	beauty	71176	273	340
amburbrown	beauty	4121	853	307
crime.fraiche	beauty	1397	1166	1187
amysoub	family	2329	651	471
aubrey.and.bentley	family	1624	1694	333
bigaandlittlea	family	6702	2216	485
chie.0214	family	81480	98	1807
almapenelopeknight	family	1273	976	266
alex_mcnally	family	1435	266	819
__i.o.ang	family	2228	2223	387
blue.and.hazel	family	5027	1644	315
daddyfootandco	family	17630	4648	538
christinkubsch	family	16802	5248	598
acefaceismyfriend	family	5948	616	770
being.the.brothers	family	2455	975	946
_ellifrench	family	3965	696	1375
christyanaking	family	33980	668	397
ashleylynnrosenbaum	family	338846	271	815
bridget.dowden	family	6644	5924	920
alittlejandk	family	101708	645	2679
adambuzz	family	517790	616	841
demi.wallace	family	12894	2009	893
callmekatiebug	family	6801	586	1271
babyanaisha	family	29222	833	194
candice.cheatwood	family	3535	2243	585
billie_grace	family	10019	7209	1747
bayarea_buzzies	family	3953	245	373
elise.yalden	family	7774	6299	278
_luvbebe_	family	10469	7490	361
brooklynnpitts	family	18610	782	717
chelsea_shoemaker	family	1851	957	2608
bethanyhopeyoung	family	6235	383	664
2011teenagemom	family	55553	589	2646
emmavanstone	family	5030	3644	1202
emgriff87	family	32461	1048	861
everydayabovedirt	family	2066	1914	425
champagneandsnottynoses	family	4837	2251	991
and_then_there_were_6	family	7293	5602	958
downwithadventure	family	3443	1022	410
britneyandbaby	family	121922	479	2859
as.we.grow	family	22566	3441	1533
brieemuccie	family	2509	1582	1139
daniellemarieweber	family	9075	1584	666
father_of_daughters	family	903715	468	780
dollywolly88	family	26041	2649	1086
chantellespark	family	37792	1297	2227
eqaustin	family	1412	1092	537
coffeemugsnbabyhugs	family	22645	1172	891
brittttanyjohnson	family	11618	2002	2096
_capturingmamahood	family	3915	962	2945
baby_wynter_	family	163269	5	688
alligoldenphotography	family	1085	5887	626
ash_frey_ditch	family	1101	992	277
blessed_by_brynn	family	25251	6270	621
aussiebrandreps	family	15602	3865	2590
brandijeter	family	4990	3050	1517
annina85	family	12875	700	2078
aleighjoymoore	family	19435	3133	1388
capenevans	family	12428	953	959
ag_4allages	family	14994	467	763
beforeiwasyourmum	family	3593	2501	281
danaschmoyer	family	13819	292	1774
first.name.lily	family	5127	799	649
fidlerscrossing	family	1067	728	613
_cassieleescott	family	12931	2293	1014
floridaray18	family	303823	981	939
britt_saulque	family	12658	2038	750
danahiabaileyhill	family	5310	1565	391
alemanosalvas	family	4968	1464	868
brittaniborenleach	family	19001	612	1167
audreysckoropad	family	27941	2199	2599
chantelleenelson	family	3490	242	967
amy_greaves1	family	2782	2023	545
ashleywbrickner	family	17323	605	1426
alanababyholiday	family	1574	805	1233
destinymoniz	family	9091	941	660
amomstake	family	4251	417	1158
devonlynnm	family	3952	590	3137
allisontuttle	family	22336	1009	1101
austinandemmett	family	9636	1256	1695
analyticalmommy	family	50897	2921	323
_andrea_snow	family	7367	1903	1088
ameliahannah	family	128451	690	1326
christycusato	family	39867	2958	342
aharmonmoore	family	19785	601	464
ashwisdom	family	23790	5107	1586
colorblind_bird	family	45783	431	1020
by_lylu	family	6051	1682	823
carlykozz	family	1015	513	941
alisang	family	10415	698	3276
carlykenihan	family	82475	835	2310
____mamamia____	family	6854	514	892
daddysgrounded	family	2720	2473	1214
ericapatten	family	29001	393	2298
elliemecham	family	563333	524	1904
catherine.wigg	family	21671	791	1355
dirtydiaperdiaries	family	31704	291	1301
dropdeadpaige	family	7077	3297	368
emilyboazman	family	25246	984	1594
brittanybmassey	family	32516	362	1265
amiranbabayev	family	1477	1095	515
carolinaaandes	family	11949	959	2172
amotherthing	family	13437	2421	6596
alexandria_daniella	family	8734	693	298
daisydagg	family	34692	890	720
fitmomma4three	family	99409	437	1486
everyday_eve_	family	29160	567	815
andrea.m.shepard	family	1637	3035	314
anitabanushi	family	16442	944	1237
alyssatoddammon	family	4672	1967	270
dahs	family	20212	213	638
ashleymaria143	family	1375	1804	1002
cassidiebasso	family	7041	542	271
curlygirl.ayla	family	27459	882	610
araadstory	family	15819	211	561
anklebitersadventures	family	3210	1530	690
_thismummycan_	family	3314	1065	1834
aliajanel	family	27228	1552	708
christine_jane_	family	20562	2305	699
alexajeanfitness	family	1816519	1015	1312
carolinafireflies	family	37916	2115	1376
avafoley	family	745264	187	438
clairekrista	family	5261	1609	594
briebeeks	family	9734	3233	364
benjimantv	family	465618	306	3255
chloeastley	family	3197	1357	346
elyse_and_aurora	family	9494	799	798
fonsecadeivid	family	1552	3516	361
bij_fem	family	2363	781	1219
culligan27	family	238937	1164	3084
britt_hope	family	1265	1085	769
beautiesandthebibs	family	2186	2693	536
dear_desmond21	family	1400	799	304
aspoonfuloffaith	family	8680	1544	1354
callumers_	family	29148	192	695
drivenbylove_	family	63687	887	2342
africasblog	family	11371	5543	1884
abbyevans	family	1888	639	513
babiesandbeauty	family	9338	5733	1064
ashleymerry	family	75285	622	706
carlywad	family	1046417	535	1443
bekah.roberts	family	1182	832	514
babybrezzacanada	family	2505	52	244
canselxsen	family	30151	797	702
elysendean	family	16401	600	498
carolinadeltaglia	family	36227	2335	3039
bethanympoteet	family	23528	1452	1125
ellieandaddie	family	10912	1092	1407
amandaciurdar	family	154600	462	2817
carlymarkham1	family	1963	980	1173
aliolives	family	17977	713	1004
_kristinhildebrand	family	23354	933	1741
casadcrissy	family	7164	1931	295
christinapatricedance	family	1178	1032	1568
crader12	family	38492	895	907
addilahazhar.official	family	1680	3087	439
__mschell__	family	1348	4132	1215
brendakbird	family	10757	856	2278
dvm6031	family	2990	5188	773
beautifuleffort	family	1689	886	884
chellegold	family	16713	3574	1213
christineyeargin	family	8472	602	1165
charlotteskjold	family	2307	1867	372
fifi_box	family	233966	446	748
brooklyn_dieterle	family	8731	1850	277
brksedu	family	1151161	752	1473
caitieandkids	family	1682	517	2374
dr.teema	family	1723	1230	1799
chasing.kerrs	family	2330	151	1374
angelialayton	family	213735	767	985
bakusiowo.pl	family	65002	387	1335
andrewslyfox	family	128937	365	1221
beautyandthebambino	family	9219	713	501
classiccatherineblog	family	1435	924	1111
catjas	family	6218	483	381
_vanessaroy	family	97501	823	3766
beccandberry	family	2543	634	1046
drenkgirls	family	45287	360	1507
2marriedgeeks	family	1293	1156	748
_thewillow_tree_	family	2161	1449	256
annasaccone	family	1491771	411	2505
annmariebailey_	family	13944	796	684
adriehawk	family	9380	998	1518
empirina	family	1948	1320	1153
dreaminginsatin	family	12381	795	618
aprilorgill	family	62622	704	1488
beautifully_candid	family	12151	1555	604
alsoknownasmamablog	family	2442	1300	962
andreeabelc	family	1126	596	1833
annelinsta	family	74867	403	740
cieraleavitt	family	5118	4746	710
arthurwears	family	1843	1095	1292
comeonayleen	family	2339	623	396
acraftyliving	family	136205	108	1257
erikanicolelong	family	8680	2425	868
brandyleann	family	2211	532	898
everything.kris	family	29229	869	700
byangelaprice	family	116711	551	502
daniellejonas	family	1287607	576	795
ahopefulhood	family	1557	1132	898
crystalxdanielle	family	6311	647	455
flaviafcamargo	family	756430	3865	2341
ericabaxterschott	family	11802	344	766
ester_depret	family	1577	604	934
anacpadilha	family	27270	1996	1281
casarose	family	1371	1172	1323
cassbelll	family	3858	902	600
emmahammontree	family	1508	1105	2956
alyssaquilala	family	95370	748	2982
azzahfariha	family	82154	1201	2172
chantellefowlks	family	39311	926	1818
bvilain	family	1594	914	1876
alexisjadekaiser	family	106718	1736	2875
amanda_booth	family	94119	290	2222
briana.renee	family	417551	337	647
a4n2a0	family	2349	2142	1428
anatrujic	family	5080	728	667
anniahatch	family	1199	545	975
daphnepodolak	family	2485	1105	1335
ancardlove	family	4287	1175	936
ahgfun	family	2551	1946	975
fabmommablog	family	1479	733	702
carlyshea.heltsley	family	2765	1777	1056
ashleyncote	family	2653	1182	769
aaron_and_gavin	family	1081	1060	353
denisetaytay	family	8556	347	1207
crystalcarder1	family	4178	2858	825
destinykohlman	family	4373	809	333
dadsnotdaddies	family	188658	2019	466
baby_fitgym	family	196502	434	614
ari_says	family	23362	930	1613
__eduardoescobar__	family	52653	238	371
basastevulova	family	18949	475	465
brittanilouisetaylorpics	family	162413	416	2195
bailimorrison	family	1122	828	810
aliciaeverafter	family	6516	646	1924
cbiehlestudio	family	2991	2636	381
eurafaelbenigno	family	60748	305	657
danny_anjos	family	169980	1044	1175
chantelle.aaa	family	11823	422	949
cloe.thomson	family	10681	1003	1078
aynsleyovard	family	30561	465	402
bubbyandbean	family	18265	993	3097
brittanychadwick	family	2926	990	282
carakilbey	family	358114	765	1574
angelicaleeblog	family	1352	1047	1948
benaarontv	family	84378	334	1398
bryanbros	family	101910	408	879
alittlebitoflottie	family	11243	854	497
betshudson	family	3223	982	1269
balancingpieces	family	111493	633	589
allthatisshe	family	552610	645	746
adalineandme	family	12883	465	761
faithfilledmotherhood	family	12621	877	320
chasingdavies	family	4040	1349	3174
butterscotchxqueen	family	3844	894	325
annecampbell91	family	1219	1107	311
chillingwithlucas	family	4372	2700	860
chefpaty	family	11642	3163	4093
amychilds1990	family	590241	1522	3342
cherish.larsen	family	17205	759	334
chelseabourke	family	11750	5826	581
17maggiezine	family	1499	1531	398
evantubehd	family	303172	137	1208
ay_kell_em	family	4766	2539	1615
danellehallanyt	family	14174	834	311
caseysasser	family	2209	740	711
fieldguided	family	19942	1200	2423
brittanygrahamhaslam	family	5232	850	552
eliseknowles	family	19674	478	651
elisekvamme	family	2551	1049	1349
faithfullyshannan	family	21082	3508	1702
dishitgirldina	family	98159	874	1498
beauty__review_lady	family	1568	4357	1340
bonniehoellein	family	287803	394	925
_charmainenavarro_	family	25143	673	320
__winging_it___	family	3061	1178	1155
ericaswalk	family	24254	1288	861
courtneynicoleramsey	family	10027	738	1578
fashionistanygirl	family	3559	1523	3044
deearivett	family	6389	1365	4065
denisewehbehook	family	1175	337	347
caroline_tucker	family	66160	618	725
ashtaystew	family	1597	1263	376
andsothestoreybegins	family	14127	1874	686
emmaaoredsson	family	6042	729	951
amimoda	family	20111	490	1080
ashleypetta	family	111915	361	280
dilan_andme	family	11407	1615	7206
beleafmel	family	39688	1490	1030
anniegirl_	family	10094	530	561
cintia_costa	family	13493	1308	2324
emmafayerudkin	family	8363	4428	637
_fairleigh	family	3199	2504	2351
cirocboyz_mr_squeek_juice	family	8499	805	533
cortneyhare	family	11227	272	426
ashortblonde	family	3203	557	1056
brookee_anne_	family	12122	2097	435
chantrikeele	family	2933	695	2038
chrishogan_15	family	417244	664	535
bearandcardigan	family	6466	1338	990
canadiandadblog	family	1813	494	1725
dearlittledaisy	family	4164	1175	1927
caseyleighdawsonx	family	8963	1317	503
chelseybieber	family	185257	306	867
essenzadimamma	family	4398	3878	254
dawn.twenty63	family	2070	1933	444
doitonadime	family	102651	214	997
ceddyced1125	family	3043	1479	1769
europeanmommyof2	family	40099	640	1220
arangoirene	family	7438	2413	570
danielgonzaleziglesias	family	20572	427	600
alessamusso	family	2331	4178	2186
desireeeaglin	family	3887	1355	3360
aleahshilling	family	22890	415	901
acottonkandilife	family	22201	5476	778
alittlecrisp	family	12680	2081	1518
fabulousity.it	family	28336	5257	942
amomentwithfranca	family	14469	3834	1019
ashleymccardia	family	4461	2369	670
alexgagliano30	family	8342	1955	661
britstrawbridge	family	16654	3183	1028
confessionsofacrummymummy	family	2362	2957	1592
cassidyrickles	family	10105	943	729
cassidy_naber	family	23034	1128	1355
_dajuanjr_	family	13602	7176	670
champagnechores	family	5648	1704	503
estaceydos	family	8029	5241	1124
domien	family	90198	1178	1509
embracingbeauty	family	3820	6606	716
amandarmorris	family	1499	517	950
aliceandafter	family	4566	639	317
adanna_david	family	286438	989	687
dicadaka	family	2553749	1137	1882
chocolatenchildren	family	1422	2105	693
ciarajanson	family	24412	1344	2289
because_mom_life	family	3126	2054	886
anja_mari	family	62508	252	1616
bakeaman	family	1638	2570	595
acummins13	family	2940	1511	399
empoweredbirthproject	family	378514	900	2462
cassiecothern	family	12339	1592	307
3princesses1dude	family	6993	690	7018
demadreamadreblog	family	21328	2058	1487
angelisebrio	family	8844	2303	440
aalexandersen	family	3469	864	566
aliyahroseofficial	family	21886	1781	758
avelinegunawan	family	49196	2177	3107
ana__monte	family	19950	1954	553
ashleynmcatee	family	100762	1264	430
eightathome	family	21451	1207	483
aperfectpumpkin	family	2436	1758	245
denisevasi	family	215218	1008	1821
dedinskamat	family	2422	698	552
bertmanderson	family	11498	2071	1619
eat.play.sleep.repeat	family	8823	186	251
edituotoja	family	7459	1649	759
alexisolvera__	family	1700	573	312
fabuloushabits	family	9838	572	257
aspynovard	family	1959256	263	1414
ashley_glass	family	22720	1604	1034
fitelyse	family	15909	1436	1636
annasmommyblog	family	6715	563	362
carolinalynn_model	family	9141	2553	1231
artthisisart	family	7740	946	385
brunapegoraro	family	45708	654	1220
addictedtosaving	family	2270	477	1134
brentrivera	family	10138813	349	1626
alwaysanewday	family	5115	1624	1473
brennakatlynlyons	family	1226	878	343
a_drop_of_sherry	family	1595	2079	1039
bonprime	family	7545	991	1115
coloryourhealth	family	12271	1106	376
craftsonsea	family	3663	1639	844
amandabatula	family	119832	969	897
_catpeterson	family	4399	45	448
diaryofaworkingmom	family	1809	700	611
britaxus	family	45107	7447	362
ablendermom	family	8022	3359	899
confessionsofavanwife	family	28315	1754	1158
analeisethomas	family	17116	1850	899
evestheryt	family	127026	650	2969
accollins3298	family	1360	3018	2164
arepopsblog	family	1338	1324	442
entertain_my_tribe	family	3238	4821	743
darlingnightingale	family	36450	440	1220
davidrees	family	66975	370	1117
dianamarko	family	32363	7499	539
fabworkingmomjulie	family	10903	6846	639
allthingscount	family	2242	2395	405
astheygrowup	family	1726	950	2375
courtneylynnc	family	7131	1391	2026
chasingzoie	family	2559	7426	1538
enzasbargains	family	7887	3087	1555
audrinapatridge	family	1638594	2356	1649
davizinhoradical	family	100019	495	420
berkshiresmacaronikid	family	1706	1784	851
engineermommyblog	family	46727	6172	710
aaliyahrosemusic	family	23048	1622	1104
carly.zucker	family	26036	940	885
amidst.the.chaos	family	76011	985	1033
anniepfit	family	31441	321	1344
fernwhelan	family	2220	994	772
courtneyhoyleofficial	family	1515	1380	595
alexandras.light	family	2643	589	829
carl_and_jinger	family	103368	518	1879
fatimah.oa	family	56174	507	547
eleni_nicolo	family	2067	1740	2672
_rachelsander	family	6151	663	433
avivadrescher	family	123815	954	1474
emilylfoley	family	13365	2062	785
aaliyah_dior	family	27761	1658	963
___juli_________	family	5038	751	554
amythepro	family	1762	988	2111
annabella.rose	family	4595	6488	1962
bloom_mads	family	1845	1561	409
bridget__lauren	family	4686	3814	668
_madewithjoy	family	8611	1833	1063
andrewscites	family	83830	237	927
brokencone	family	1812	615	624
angieknowsthetruth	family	4715	1501	898
